Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
560,0.071550,0.005119,0.132861,0.862019
561,0.072500,0.005256,0.134487,0.860256
562,0.071700,0.005141,0.133118,0.861741
563,0.071050,0.005048,0.132004,0.862948
564,0.075100,0.005640,0.138920,0.855440
565,0.076750,0.005891,0.141719,0.852391
566,0.075050,0.005633,0.138835,0.855533
567,0.075550,0.005708,0.139684,0.854608
568,0.076250,0.005814,0.140872,0.853314
569,0.076900,0.005914,0.141973,0.852114
570,0.075750,0.005738,0.140024,0.854238
571,0.075150,0.005648,0.139005,0.855348
572,0.076950,0.005921,0.142057,0.852021
573,0.077100,0.005944,0.142311,0.851744
574,0.076500,0.005852,0.141295,0.852852
575,0.073450,0.005395,0.136110,0.858495
576,0.075650,0.005723,0.139854,0.854423
577,0.072750,0.005293,0.134915,0.859793
578,0.072450,0.005249,0.134402,0.860349
579,0.071050,0.005048,0.132004,0.862948
580,0.069450,0.004823,0.129253,0.865923
581,0.067700,0.004583,0.126233,0.869183
582,0.070100,0.004914,0.130372,0.864714
583,0.071750,0.005148,0.133204,0.861648
584,0.074300,0.005520,0.137559,0.856920
585,0.076150,0.005799,0.140702,0.853499
586,0.076250,0.005814,0.140872,0.853314
587,0.077550,0.006014,0.143072,0.850914
588,0.076550,0.005860,0.141380,0.852760
589,0.075550,0.005708,0.139684,0.854608
590,0.076300,0.005822,0.140957,0.853222
591,0.071750,0.005148,0.133204,0.861648
592,0.071550,0.005119,0.132861,0.862019
593,0.071000,0.005041,0.131918,0.863041
594,0.072650,0.005278,0.134744,0.859978
595,0.074100,0.005491,0.137218,0.857291
596,0.077050,0.005937,0.142227,0.851837
597,0.079100,0.006257,0.145686,0.848057
598,0.082500,0.006806,0.151388,0.841806
599,0.080650,0.006504,0.148291,0.845204
600,0.081650,0.006667,0.149967,0.843367
601,0.081750,0.006683,0.150134,0.843183
602,0.082250,0.006765,0.150970,0.842265
603,0.081650,0.006667,0.149967,0.843367
604,0.083050,0.006897,0.152305,0.840797
605,0.081050,0.006569,0.148962,0.844469
606,0.080350,0.006456,0.147788,0.845756
607,0.079900,0.006384,0.147032,0.846584
608,0.077050,0.005937,0.142227,0.851837
609,0.075400,0.005685,0.139430,0.854885
